gender,cgpa,attendance,internship,projects,communication,aptitude_score,coding_score,backlogs,extracurricular,placed
Female,6.94,74.2,Yes,5,High,96,79,1,No,1
Female,7.73,79.83,No,2,Low,71,97,3,Yes,0
Male,6.35,94.81,Yes,1,Low,80,92,1,Yes,1
Female,8.96,91.03,Yes,3,Medium,57,47,3,No,0
Male,6.3,63.36,Yes,3,High,97,59,2,No,0
Female,5.87,95.61,Yes,2,High,84,48,2,Yes,0
Male,7.38,78.87,No,1,Medium,70,52,0,No,0
Female,8.33,89.75,Yes,5,Low,80,91,3,No,1
Female,7.38,65.6,No,2,Medium,75,60,2,Yes,0
Male,6.69,86.83,Yes,4,High,64,67,3,Yes,0
Male,7.9,69.45,Yes,5,Medium,84,83,1,Yes,1
Male,6.99,77.54,Yes,4,High,49,99,2,No,1
Male,9.51,60.67,Yes,4,Low,79,46,1,Yes,1
Male,9.47,66.06,Yes,5,Low,53,96,3,Yes,1
Male,7.66,63.68,No,4,Medium,87,70,0,Yes,0
Male,6.91,69.59,Yes,3,High,65,92,2,Yes,1
Male,8.67,64.0,Yes,5,High,58,62,0,No,1
Female,5.66,87.68,Yes,2,High,69,52,2,No,0
Female,7.54,61.16,Yes,3,Medium,97,84,2,Yes,1
Male,6.95,84.71,No,2,Medium,78,75,2,No,0
Female,9.46,65.63,No,1,High,51,41,0,Yes,1
Female,5.55,97.81,Yes,2,Low,70,73,2,Yes,0
Female,7.88,97.32,Yes,5,High,84,44,1,No,1
Female,8.68,69.02,Yes,2,Medium,86,41,3,Yes,0
Male,7.59,84.58,No,1,High,86,86,2,No,1
Female,5.87,61.12,Yes,4,High,57,73,2,Yes,0
Male,9.68,97.27,No,5,Low,41,41,1,Yes,0
Female,7.73,80.92,Yes,3,Low,53,59,0,Yes,1
Female,8.14,61.73,No,3,Medium,59,47,0,No,0
Female,6.52,73.7,Yes,2,Low,97,62,1,No,0
Male,7.58,63.07,Yes,3,Medium,78,76,2,Yes,1
Female,7.35,75.72,No,1,Medium,59,55,1,Yes,0
Male,5.82,86.8,No,3,Medium,73,94,1,No,0
Female,5.96,78.8,No,2,Low,99,61,3,No,0
Male,9.1,75.35,No,3,High,73,95,3,Yes,1
Female,6.53,64.77,No,4,Medium,76,85,2,Yes,0
Male,6.34,69.8,Yes,4,High,42,47,1,Yes,1
Male,7.67,64.01,No,3,Low,74,94,0,Yes,1
Female,8.81,92.3,No,5,High,72,92,0,Yes,1
Male,5.77,65.41,Yes,3,Low,58,93,3,Yes,0
Female,7.98,83.81,No,4,Medium,70,82,0,Yes,1
Female,6.01,73.71,Yes,4,Medium,91,82,1,No,1
Female,5.66,69.04,Yes,1,High,83,65,3,No,0
Female,5.73,85.58,No,2,Medium,61,79,3,Yes,0
Female,9.09,78.28,Yes,1,Low,66,62,2,Yes,0
Female,6.01,76.01,Yes,5,High,77,55,3,No,0
Female,5.69,83.71,Yes,2,Medium,67,60,3,Yes,0
Female,7.38,79.65,Yes,3,Low,60,97,0,No,1
Female,9.13,72.14,Yes,3,Medium,59,79,3,Yes,1
Female,6.63,82.36,No,5,Low,77,91,3,No,0
Female,7.31,86.78,No,4,Low,52,68,2,Yes,0
Male,5.67,61.07,No,3,Medium,68,93,2,Yes,0
Male,7.43,78.63,Yes,1,Low,60,59,3,Yes,0
Female,7.98,62.31,No,4,Medium,81,51,0,Yes,0
Female,7.95,67.46,No,3,Medium,72,76,1,No,1
Female,6.93,82.42,Yes,4,High,71,65,0,Yes,1
Female,6.86,94.65,No,2,High,87,42,1,Yes,0
Female,5.96,95.31,No,3,Low,85,57,2,Yes,0
Female,7.08,62.8,Yes,3,High,67,98,3,Yes,1
Female,5.93,76.76,Yes,4,High,89,40,0,Yes,1
Female,8.8,83.32,No,2,Medium,53,58,0,No,0
Male,9.65,65.88,Yes,1,High,96,52,1,Yes,1
Female,9.67,90.62,No,2,Medium,81,82,1,No,1
Male,9.22,89.77,Yes,1,High,91,72,3,Yes,1
Female,8.08,96.13,Yes,5,Medium,61,69,3,Yes,0
Female,8.51,60.34,No,2,Medium,76,61,2,No,0
Male,6.73,68.67,Yes,1,High,73,66,3,Yes,0
Female,8.21,93.09,No,4,Medium,56,89,0,Yes,1
Male,7.46,86.82,Yes,1,Low,72,90,0,Yes,1
Female,7.57,95.78,Yes,5,Low,72,52,0,Yes,1
Female,8.76,62.29,Yes,1,High,77,47,1,Yes,1
Male,6.71,83.88,Yes,2,High,65,92,3,Yes,1
Female,6.87,82.76,Yes,1,Medium,78,99,3,Yes,0
Male,9.48,61.43,No,2,Medium,46,89,1,No,1
Female,5.74,80.54,No,5,Low,64,41,0,Yes,0
Male,7.59,84.38,No,1,Medium,87,90,1,Yes,1
Male,9.43,67.65,Yes,1,High,90,58,2,No,1
Female,8.12,70.93,No,5,High,69,63,0,Yes,1
Female,7.85,85.61,No,1,Medium,80,44,0,No,0
Male,6.57,78.73,Yes,2,High,72,47,2,Yes,0
Female,6.98,94.32,Yes,3,High,89,59,0,No,1
Female,9.16,73.7,Yes,3,Low,78,96,0,Yes,1
Female,7.9,70.67,Yes,2,Medium,67,74,3,Yes,0
Male,7.71,99.39,No,1,Low,57,41,0,No,0
Male,5.93,96.45,Yes,2,Medium,49,45,0,No,0
Male,5.57,61.16,No,5,High,98,98,1,No,1
Male,9.64,90.83,Yes,2,Low,91,55,2,Yes,0
Male,7.12,64.41,Yes,3,High,41,86,0,Yes,1
Male,8.09,61.1,Yes,4,Medium,82,75,1,Yes,1
Male,5.84,70.95,No,5,High,89,41,0,No,0
Male,8.44,70.77,Yes,1,Low,82,53,1,No,1
Male,9.51,92.77,No,2,Low,53,77,1,Yes,1
Female,7.98,88.43,Yes,5,Medium,52,91,2,Yes,1
Male,6.04,99.26,No,3,High,40,65,1,Yes,0
Female,8.0,88.46,No,1,High,71,98,3,Yes,1
Female,8.8,76.73,No,2,Medium,64,59,0,No,0
Female,7.25,87.96,Yes,2,Low,49,68,3,No,0
Male,9.28,99.98,Yes,1,Low,54,97,3,No,1
Male,8.29,88.41,Yes,4,High,90,43,2,No,1
Male,9.37,90.47,No,4,Low,68,59,3,Yes,0
Male,8.18,97.53,Yes,5,Medium,56,63,2,Yes,0
Female,6.06,64.55,Yes,2,Medium,81,40,0,Yes,0
Male,6.83,88.19,Yes,5,Medium,93,64,0,Yes,0
Male,6.37,94.03,Yes,1,Medium,79,53,2,Yes,0
Male,9.41,98.18,No,5,High,62,74,1,Yes,1
Male,8.77,68.44,No,2,High,46,92,2,No,1
Male,8.41,80.16,Yes,4,High,89,60,2,No,1
Female,6.79,87.22,No,4,Medium,98,75,3,Yes,0
Male,6.29,69.9,No,1,Low,75,91,0,Yes,0
Female,8.75,84.02,Yes,3,High,45,62,0,Yes,1
Male,7.54,70.3,No,5,Low,41,85,0,No,1
Female,6.47,73.34,No,1,Medium,84,59,2,No,0
Male,8.15,77.66,Yes,4,Low,71,65,2,Yes,0
Male,5.67,81.17,No,2,Medium,92,90,0,Yes,0
Female,6.9,77.97,Yes,2,Medium,83,66,2,Yes,0
Female,7.51,79.73,Yes,3,High,44,80,0,Yes,1
Female,6.14,71.94,No,3,High,58,53,3,Yes,0
Male,9.73,66.36,No,4,Medium,41,75,3,Yes,0
Female,6.4,61.89,No,3,Low,82,43,2,Yes,0
Male,6.06,67.84,Yes,3,Medium,62,65,1,Yes,0
Male,6.38,83.28,No,2,Medium,79,83,0,Yes,0
Female,8.81,91.44,Yes,5,High,43,79,3,Yes,1
Female,7.33,66.77,Yes,2,Low,43,99,1,Yes,1
Male,7.93,64.34,Yes,2,Low,50,55,3,Yes,0
Male,5.59,89.97,Yes,4,Medium,85,82,0,Yes,1
Female,5.65,72.21,Yes,4,High,80,78,0,No,1
Female,7.42,98.06,No,5,Medium,59,59,3,No,0
Female,9.01,88.57,No,1,Low,97,85,2,Yes,0
Male,9.31,73.07,No,3,Medium,53,63,0,Yes,0
Male,5.87,71.58,No,3,Medium,99,49,1,Yes,0
Male,7.81,80.95,Yes,2,Low,74,41,1,Yes,1
Male,9.43,63.17,No,2,High,98,84,2,Yes,1
Male,7.17,64.71,No,5,Low,84,48,3,Yes,0
Male,9.07,67.03,Yes,3,Medium,53,57,0,Yes,1
Female,6.07,90.99,No,2,High,88,81,0,Yes,1
Male,9.52,80.55,Yes,2,Low,42,85,2,Yes,1
Male,8.73,60.42,Yes,4,High,54,69,0,Yes,1
Male,9.55,86.94,Yes,1,High,60,42,0,Yes,1
Female,8.41,76.95,No,5,Low,41,68,1,Yes,0
Male,7.06,80.43,No,1,High,60,93,1,Yes,1
Male,9.53,68.56,Yes,1,Medium,96,46,3,No,0
Female,6.68,82.07,Yes,5,Medium,49,64,1,Yes,0
Male,6.93,99.17,No,3,High,66,63,3,Yes,0
Male,8.51,62.94,No,2,High,93,82,1,Yes,1
Male,8.79,71.36,Yes,5,Medium,86,45,3,Yes,0
Male,9.5,69.72,Yes,2,Low,58,54,0,No,1
Male,6.38,69.94,No,4,Low,92,54,0,Yes,0
Female,8.93,75.15,Yes,1,High,51,79,1,No,1
Female,8.68,92.72,Yes,4,High,88,66,0,Yes,1
Female,5.77,96.51,Yes,1,Low,55,98,3,Yes,0
Male,7.17,68.09,No,3,Low,47,60,2,Yes,0
Male,6.72,81.72,No,5,High,96,97,2,Yes,0
Male,6.81,85.48,Yes,3,Medium,76,97,0,Yes,1
Female,9.73,80.87,Yes,1,Low,64,84,0,Yes,1
Male,8.26,77.36,Yes,4,Low,63,71,1,Yes,1
Male,8.59,67.68,Yes,1,Medium,86,71,1,No,1
Female,9.7,79.53,Yes,3,High,79,51,3,No,1
Male,7.12,76.05,Yes,3,High,57,83,3,Yes,1
Female,8.95,91.82,Yes,4,Medium,60,48,2,Yes,0
Female,7.37,90.54,Yes,4,High,99,59,3,Yes,0
Female,9.24,65.36,No,3,Low,47,88,0,No,1
Male,6.28,63.54,No,1,High,58,54,0,No,0
Male,9.58,96.33,Yes,1,Low,88,52,1,No,1
Male,6.44,81.42,Yes,5,High,69,85,0,Yes,1
Male,6.9,94.31,Yes,3,Medium,66,47,3,Yes,0
Male,8.75,62.33,No,5,Low,75,60,3,Yes,0
Male,7.19,81.06,Yes,3,High,75,84,1,Yes,1
Male,8.12,81.58,Yes,5,Low,65,64,3,No,0
Female,7.41,94.43,No,2,High,59,74,1,Yes,0
Male,8.69,63.9,No,1,Low,91,96,0,Yes,1
Female,6.48,69.62,Yes,1,Low,80,79,1,No,1
Male,5.75,76.26,Yes,2,High,98,69,3,Yes,0
Male,6.79,94.63,No,4,Medium,53,70,3,Yes,0
Male,7.54,97.56,No,2,Medium,72,45,2,Yes,0
Female,6.22,99.71,Yes,1,Low,48,50,1,Yes,0
Female,7.03,98.37,No,3,Medium,62,81,3,No,0
Female,7.22,60.24,Yes,5,Medium,84,97,2,No,0
Female,5.75,61.91,No,1,Medium,69,98,0,No,0
Male,8.01,65.9,Yes,2,Medium,92,47,0,Yes,1
Female,9.3,73.95,No,3,Medium,89,47,0,Yes,0
Male,6.15,93.2,No,1,High,81,94,0,Yes,1
Male,8.07,95.71,Yes,2,Medium,67,78,0,Yes,1
Female,8.36,67.47,No,1,Medium,97,90,1,Yes,1
Female,7.3,84.79,Yes,2,Medium,70,94,0,Yes,1
Female,8.51,96.69,Yes,2,Medium,65,51,3,No,0
Female,7.27,78.55,Yes,1,Low,75,42,3,Yes,0
Female,7.67,64.14,No,3,Medium,98,82,0,Yes,1
Female,5.53,78.31,Yes,1,High,86,84,0,Yes,1
Female,8.47,75.03,No,1,High,75,55,2,No,0
Female,8.34,83.11,No,3,Medium,91,80,1,Yes,1
Male,5.67,77.55,Yes,1,Medium,50,66,3,Yes,0
Female,7.08,60.69,Yes,5,Medium,51,55,3,Yes,0
Female,9.71,99.76,No,5,Medium,84,44,3,Yes,0
Male,7.31,81.74,No,5,High,41,98,3,No,0
Female,7.66,78.95,Yes,2,High,79,79,0,Yes,1
Male,9.41,98.18,Yes,4,Low,43,51,0,No,1
Male,8.58,66.23,Yes,1,High,71,42,1,No,1
Female,8.0,67.57,Yes,4,High,80,74,2,Yes,1
Male,8.93,92.32,Yes,5,Low,73,84,0,Yes,1
Male,9.22,70.43,Yes,3,Low,94,42,3,Yes,0
Male,7.46,91.97,Yes,5,High,44,70,2,Yes,0
Male,7.54,70.86,Yes,1,Medium,44,63,3,Yes,0
Female,7.16,61.33,No,4,High,94,80,1,No,1
Male,9.66,80.68,No,4,Low,43,68,0,Yes,0
Female,8.5,67.87,Yes,2,Low,90,94,1,No,1
Male,5.86,90.31,No,3,Low,80,72,3,Yes,0
Male,9.21,85.65,Yes,5,Medium,51,77,0,Yes,1
Male,7.57,96.94,No,3,Medium,74,90,0,Yes,1
Male,5.8,91.32,No,1,High,76,55,0,No,0
Female,7.86,67.23,No,2,High,73,72,0,Yes,1
Female,7.29,92.01,Yes,5,High,94,49,1,Yes,1
Male,9.27,85.67,Yes,1,Low,84,69,0,Yes,1
Male,6.38,86.76,Yes,3,Low,67,73,2,Yes,0
Female,9.05,93.29,Yes,2,Low,98,99,0,Yes,1
Male,7.9,82.95,Yes,5,Medium,46,74,3,Yes,0
Male,5.73,78.64,Yes,3,Low,99,46,1,Yes,0
Male,9.68,85.47,No,5,Medium,92,45,2,Yes,0
Female,7.7,71.92,Yes,2,Low,79,54,3,Yes,0
Female,6.75,67.3,Yes,2,Low,96,71,0,No,0
Female,7.52,84.66,Yes,3,Medium,91,41,3,Yes,0
Male,9.19,69.35,Yes,5,Medium,50,71,1,Yes,1
Male,6.81,63.2,No,4,High,83,67,1,Yes,0
Female,6.33,60.02,Yes,1,High,71,60,0,No,1
Female,6.06,84.33,Yes,2,Low,89,56,2,Yes,0
Female,6.78,74.49,Yes,5,High,89,58,1,No,1
Female,8.85,90.09,No,3,Medium,71,53,1,Yes,0
Male,7.53,75.01,Yes,3,Medium,98,88,2,Yes,1
Female,6.48,79.44,No,2,Low,70,90,0,Yes,0
Male,6.21,76.28,Yes,2,High,87,73,3,Yes,0
Female,6.93,86.02,No,4,Low,59,87,0,Yes,0
Male,9.54,74.25,Yes,3,Low,93,59,0,No,1
Female,6.98,98.55,Yes,5,Low,45,60,3,Yes,0
Female,9.75,97.45,Yes,1,Medium,89,87,3,Yes,1
Female,7.59,93.92,Yes,1,Medium,88,42,0,Yes,1
Female,6.27,96.81,Yes,4,High,57,97,2,No,1
Male,9.33,77.97,Yes,5,High,95,53,3,Yes,1
Female,7.48,81.46,Yes,1,High,60,60,1,Yes,1
Male,8.55,89.68,Yes,1,High,42,66,0,Yes,1
Male,9.73,87.85,No,5,Low,80,46,1,Yes,0
Male,5.72,95.63,No,5,Medium,67,81,1,Yes,0
Male,5.92,88.65,Yes,2,Medium,67,68,3,Yes,0
Female,8.6,99.92,Yes,1,Medium,71,48,2,No,0
Male,6.71,73.94,Yes,1,Medium,78,79,1,Yes,1
Male,6.29,93.32,Yes,4,High,63,54,0,No,1
Male,5.67,87.91,No,2,Low,93,83,3,Yes,0
Female,5.59,87.66,No,2,High,46,67,1,No,0
Female,8.83,73.03,Yes,1,Low,58,77,0,Yes,1
Female,6.08,91.42,Yes,3,Low,40,54,0,Yes,0
Female,7.51,96.02,No,3,Medium,72,54,0,No,0
Male,8.11,68.74,Yes,5,Medium,72,69,1,Yes,1
Male,7.34,85.02,Yes,2,Low,50,96,2,Yes,0
Female,5.62,75.69,No,1,Medium,98,71,1,Yes,0
Male,8.87,99.58,Yes,1,Medium,99,79,2,Yes,1
Male,5.55,79.15,Yes,1,Low,62,51,2,Yes,0
Male,8.78,69.13,No,4,High,89,59,3,Yes,0
Female,9.34,75.27,Yes,3,Low,84,66,3,No,0
Female,7.36,86.15,No,4,High,67,41,2,Yes,0
Male,7.8,63.04,Yes,1,Medium,93,80,1,No,1
Female,7.55,84.14,No,1,Medium,86,61,2,Yes,0
Female,7.17,97.25,No,2,High,56,65,2,Yes,0
Female,9.32,94.01,Yes,2,High,49,79,2,No,1
Female,9.34,62.71,No,3,High,47,47,0,Yes,1
Female,6.94,99.74,No,5,Low,92,75,2,Yes,0
Male,8.14,87.95,Yes,1,Low,48,65,0,Yes,1
Female,9.49,66.49,No,2,Medium,58,76,2,Yes,0
Male,9.64,60.5,No,3,Medium,89,56,1,Yes,0
Male,7.69,66.85,Yes,4,High,47,96,3,No,1
Female,7.45,93.53,Yes,1,Medium,98,46,3,Yes,0
Male,6.7,60.87,Yes,5,Medium,44,40,0,No,0
Male,9.62,69.33,Yes,3,Medium,53,66,2,No,0
Male,6.11,90.29,Yes,5,High,84,81,1,No,1
Female,7.99,83.44,Yes,1,Low,72,65,0,Yes,1
Female,6.71,91.31,Yes,3,High,82,71,1,Yes,1
Male,6.7,89.85,Yes,2,Medium,83,53,2,Yes,0
Female,7.24,62.02,Yes,5,High,77,58,3,No,0
Female,9.79,95.7,Yes,4,Medium,51,48,2,Yes,0
Female,5.74,69.08,Yes,4,High,42,82,2,No,1
Female,7.99,82.14,No,5,Low,79,98,2,Yes,0
Male,5.86,85.77,Yes,1,High,68,83,3,Yes,1
Male,6.16,66.75,Yes,1,Medium,61,40,3,Yes,0
Female,7.39,99.05,Yes,1,Medium,73,93,0,Yes,1
Female,7.69,79.53,Yes,4,Low,45,60,0,No,1
Male,6.61,62.31,Yes,4,High,74,59,0,Yes,1
Male,6.86,97.49,No,2,Low,78,88,3,Yes,0
Female,5.87,83.45,Yes,1,Low,55,94,3,Yes,0
Male,6.8,87.97,No,4,Low,70,72,2,No,0
Female,9.66,81.01,Yes,4,Low,88,72,2,No,0
Female,9.56,93.39,Yes,1,Medium,83,57,1,No,1
Male,6.94,61.33,No,1,Low,54,80,1,No,0
Male,7.95,70.74,No,4,Low,85,56,0,Yes,0
Female,9.41,78.79,No,5,Medium,40,95,2,Yes,0
Female,5.53,63.06,No,4,Medium,97,52,2,Yes,0
Male,8.99,88.24,Yes,2,Medium,83,88,1,Yes,1
Female,9.58,75.75,No,3,Medium,59,82,0,Yes,1
Male,5.89,70.91,Yes,1,Medium,62,88,2,Yes,0
Female,6.19,60.14,No,2,Medium,59,48,1,Yes,0
Male,9.63,88.79,Yes,5,High,71,95,0,Yes,1
Male,7.81,93.35,Yes,3,Low,85,85,0,Yes,1
Male,5.56,75.8,No,4,High,87,40,0,No,0
Female,6.61,82.57,Yes,1,Low,64,62,1,Yes,0
Female,7.43,69.11,Yes,4,High,86,79,2,Yes,1
Male,8.48,84.89,Yes,2,Medium,47,73,1,Yes,1
Female,8.65,60.49,No,1,Low,92,75,2,Yes,0
Male,9.78,79.55,No,4,Medium,72,89,2,Yes,0
Male,6.74,85.77,No,1,High,84,84,2,Yes,0
Female,7.81,96.73,No,2,Medium,69,53,3,Yes,0
Female,7.79,75.25,Yes,4,Medium,42,93,3,No,1
Male,7.24,90.61,Yes,3,Low,63,60,3,No,0
Female,6.23,83.91,Yes,5,High,51,82,0,Yes,1
Female,9.7,97.08,Yes,4,High,70,82,2,Yes,1
Male,9.17,75.94,Yes,1,Medium,46,60,0,Yes,1
Male,7.64,72.76,Yes,4,High,79,67,1,Yes,1
Female,8.09,95.49,Yes,1,Medium,56,71,2,Yes,0
Male,6.48,61.97,No,2,High,89,69,3,Yes,0
Male,7.84,65.46,Yes,5,Medium,49,79,1,No,1
Female,8.49,63.3,No,1,Medium,54,51,3,No,0
Male,7.72,93.72,No,4,Low,94,68,1,Yes,0
Male,9.76,60.42,No,2,High,60,40,2,Yes,0
Female,8.13,94.47,No,3,High,60,65,2,Yes,0
Female,7.1,78.05,Yes,4,High,99,55,0,Yes,1
Male,8.82,60.16,No,5,Medium,68,57,3,Yes,0
Male,6.23,76.07,No,2,Low,81,72,3,No,0
Female,7.15,67.47,Yes,4,Medium,80,91,2,No,0
Female,6.99,84.98,No,1,High,40,89,0,Yes,1
Female,7.36,87.17,Yes,1,High,60,81,0,Yes,1
Female,8.86,79.5,Yes,1,Low,94,82,3,Yes,1
Male,7.58,61.62,Yes,4,Medium,44,62,2,Yes,0
Female,8.91,86.25,No,5,High,54,87,3,Yes,1
Female,7.98,93.68,No,1,Low,85,99,2,Yes,0
Male,6.97,88.81,No,4,Medium,65,44,3,No,0
Female,8.98,93.2,No,4,Low,50,60,2,Yes,0
Male,6.52,68.02,Yes,5,Medium,94,40,0,No,0
Female,6.46,95.56,Yes,2,High,88,70,0,Yes,1
Female,7.67,72.89,No,2,High,60,57,3,Yes,0
Female,6.62,60.54,Yes,4,Medium,85,60,0,No,0
Male,5.54,93.74,Yes,2,Medium,45,46,3,Yes,0
Male,8.29,97.67,Yes,3,Medium,93,40,0,No,1
Female,7.7,86.22,Yes,5,High,43,62,3,Yes,1
Male,7.42,69.26,No,4,Medium,84,66,0,Yes,0
Male,9.66,70.07,Yes,2,Medium,60,99,2,No,1
Male,7.96,78.66,No,2,High,95,41,0,No,1
Male,9.21,95.91,No,5,High,93,73,2,Yes,0
Male,6.1,65.98,Yes,1,High,56,96,0,No,1
Male,7.95,93.04,Yes,2,High,92,55,0,No,1
Female,9.23,71.65,Yes,5,Medium,70,79,2,Yes,1
Female,8.01,92.34,No,1,High,83,49,1,Yes,1
Male,8.59,96.81,Yes,4,Medium,62,59,3,No,0
Female,7.1,77.1,Yes,1,Low,71,87,1,No,1
Female,5.9,74.6,No,2,Medium,83,76,0,Yes,0
Female,7.47,92.09,Yes,4,Medium,95,64,3,Yes,0
Female,7.2,81.18,No,4,Low,75,43,3,Yes,0
Male,9.23,87.38,No,1,High,73,71,3,No,0
Female,6.55,84.91,Yes,4,Low,91,97,3,Yes,0
Female,9.66,66.12,No,1,High,45,84,2,Yes,1
Male,9.62,93.79,Yes,1,Low,77,67,1,Yes,1
Male,6.56,67.83,No,1,Medium,61,79,1,Yes,0
Female,7.0,97.29,No,5,Medium,72,52,2,Yes,0
Female,9.35,70.02,Yes,2,High,50,44,1,Yes,1
Female,9.66,89.36,Yes,4,Low,94,56,0,Yes,1
Female,7.41,71.39,No,3,High,62,86,3,Yes,0
Female,6.88,72.71,Yes,2,High,92,46,0,No,1
Female,7.76,72.4,No,3,High,83,49,0,Yes,1
Male,8.46,89.92,Yes,1,Low,75,66,1,No,1
Female,6.68,82.27,Yes,4,Medium,67,98,2,No,0
Female,8.67,95.32,No,2,High,87,74,2,No,0
Male,5.72,72.29,Yes,3,Low,98,62,0,Yes,0
Male,5.71,87.68,No,3,Low,58,95,3,Yes,0
Male,7.16,90.12,Yes,3,Medium,98,55,0,Yes,0
Male,7.02,66.06,Yes,2,High,82,91,3,No,1
Female,6.86,76.02,No,5,Medium,82,66,3,No,0
Female,7.61,79.31,Yes,1,Medium,52,54,0,Yes,1
Female,6.88,74.23,No,4,Medium,52,45,0,Yes,0
Female,6.33,72.88,No,3,High,47,81,1,Yes,1
Female,6.83,87.46,No,2,Low,82,78,3,Yes,0
Female,9.69,68.63,No,3,Low,87,63,0,No,0
Male,7.27,88.38,Yes,2,Low,52,90,1,Yes,1
Female,7.41,97.4,No,5,Low,95,62,3,Yes,0
Male,7.98,82.61,Yes,3,Medium,74,44,0,Yes,1
Male,9.73,84.46,Yes,3,Low,66,46,3,Yes,0
Female,6.54,62.76,Yes,4,Medium,50,61,3,Yes,0
Male,8.43,94.58,Yes,2,Medium,60,68,2,Yes,0
Female,8.58,71.42,No,2,Medium,47,92,1,Yes,1
Male,8.11,84.6,Yes,5,High,81,70,2,Yes,1
Female,5.88,99.16,Yes,3,Low,65,74,2,No,0
Male,8.41,83.82,Yes,4,Medium,69,97,2,No,1
Female,5.78,88.99,Yes,1,Low,61,73,0,Yes,0
Female,8.06,77.81,No,4,Medium,89,58,2,Yes,0
Female,8.68,62.41,Yes,4,High,88,73,2,Yes,1
Female,6.41,91.9,Yes,4,High,78,69,3,Yes,0
Female,9.12,61.4,Yes,4,Medium,89,58,2,Yes,0
Male,5.63,88.03,Yes,3,High,49,57,3,No,0
Male,9.13,60.92,Yes,4,High,65,40,1,Yes,1
Male,7.48,94.49,Yes,2,Low,91,80,3,Yes,0
Female,6.44,66.31,Yes,2,Low,66,97,0,No,1
Male,6.08,80.57,Yes,4,Medium,61,92,2,Yes,0
Female,9.6,83.89,Yes,2,High,52,55,0,Yes,1
Female,5.81,78.3,No,3,Medium,78,96,1,Yes,0
Male,6.36,73.63,Yes,1,Low,94,79,0,Yes,1
Male,7.0,78.71,No,4,High,46,94,3,No,0
Female,8.17,72.46,No,2,Low,91,67,2,No,0
Male,7.84,77.52,Yes,2,Medium,82,93,3,Yes,1
Female,6.04,74.36,No,3,Low,81,50,0,Yes,0
Female,6.75,82.65,No,3,Low,97,87,3,Yes,0
Female,6.53,69.52,No,1,Medium,51,91,0,Yes,0
Female,6.42,99.55,Yes,5,Medium,52,71,0,Yes,0
